category,asset,number_of_events,mean_abnormal_return_1d,median_abnormal_return_1d,mean_absolute_abnormal_return_1d,standard_deviation_1d,mean_abnormal_return_3d,mean_abnormal_return_5d,positive_reaction_rate,direction_accuracy,mean_volatility_change
Inventory announcement,ExxonMobil,5,0.0007110176988945893,0.004752334448056672,0.009762731753362596,0.012003573716584164,-0.005369610604283137,-0.0048591069718237016,0.6,0.8,-0.08684347497617247
Inventory announcement,Oil Services ETF,5,0.0006791234541189573,0.0018115809173910868,0.00959943224584332,0.012658940170036437,0.00217828128828641,0.01716438576367312,0.6,0.4,-0.10178341159022078
Inventory announcement,Chevron,5,0.002774753802865448,0.005708765855046538,0.00869100586578917,0.009923991879047887,0.006061062711492449,0.008419930293187817,0.6,0.8,-0.04521727794666959
Inventory announcement,Shell,5,0.006677474160015451,0.007109722767795423,0.007825079628632926,0.006192232229113981,-0.001240872334658616,0.0031813562540405683,0.8,0.6,-0.1120601198055325
Inventory announcement,Utilities ETF,5,-0.004681679301642006,-0.003463744320224449,0.0070623247596594,0.008379403800735178,-0.015084100504662867,-0.013670630576651877,0.2,0.4,0.010884540596649232
Inventory announcement,Energy ETF,5,0.0004583081113179288,-0.00047217300179847044,0.006494940714467013,0.009048858523554942,-0.0002698047566648709,0.001787210831937891,0.4,0.6,-0.08090400933826396
Inventory announcement,BP,5,0.00028669355193347015,0.0022366636803774487,0.0063731522609994816,0.00846302953162951,-0.00651551684633811,0.011443042231731381,0.6,0.8,-0.06489504869007659
Inventory announcement,TotalEnergies,5,0.00042191180725230647,-0.0013805266297455265,0.0061640721700201295,0.00810776065305926,-0.009270920043284402,-0.008228371316783934,0.4,1.0,-0.05272811779491855
Inventory announcement,Airlines ETF,5,-0.0036948231666991127,0.0005587858638970156,0.005332957589701826,0.008872918462570099,-0.00703366418110909,0.008480505784309344,0.6,0.8,-0.08598618549885385
Natural gas,WTI Crude,2,-0.0222610541242369,-0.0222610541242369,0.04814831773159217,0.06809200394146663,-0.0001454617616923337,0.037757936532229586,0.5,0.5,0.15413784465514474
Natural gas,Brent Crude,2,-0.01668139065940827,-0.01668139065940827,0.045524739687400284,0.06438170428942618,-0.0006877743142862935,0.024486427048841297,0.5,0.5,0.05619511565941879
Natural gas,Airlines ETF,2,0.03312837097488586,0.03312837097488586,0.03312837097488586,0.02071822191002283,0.02651241769164936,0.02856498730982321,1.0,1.0,-0.05469961631957404
Natural gas,Natural Gas,2,-0.03301587513802695,-0.03301587513802695,0.03301587513802695,0.0013256230853053792,0.021748480268279302,0.050379852165619965,0.0,0.0,-0.2360065001197863
Natural gas,Oil Services ETF,2,-0.002044024648870324,-0.002044024648870324,0.025023327194281575,0.03538832869385249,0.006185773605207612,0.06062374618405164,0.5,0.5,-0.04546602802656752
Natural gas,Shell,2,0.012546008987687762,0.012546008987687762,0.01714335660932298,0.024244367421502995,0.0225976889764975,0.061167249431053616,0.5,0.5,-0.03393800141388478
Natural gas,TotalEnergies,2,0.0018231786575676479,0.0018231786575676479,0.015218869906357235,0.02152273222556216,-0.0015891213870137255,0.045686168291431684,0.5,0.5,0.09411905750340929
